epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931199482509068,6.914142738494873,0.068,0.496
1,6.773089704059419,6.378027690429687,1.724,5.454
2,6.5504613149733775,6.070890985565185,2.82,8.872
3,6.398489316304524,5.781202942657471,3.906,11.772
4,6.213887850443522,5.533206719970703,5.394,15.374
5,6.02591628120059,5.310637845611573,6.92,19.142
6,5.934017521994455,5.29932387512207,6.896,18.846
7,5.831727368491037,4.967008795013427,9.676,24.69
8,5.666054952712286,4.810303204803467,11.424,27.88
9,5.569803169795445,4.566235838165283,13.63,32.034
10,5.447157723563058,4.38699116973877,15.48,35.17
