epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931239900134859,6.9142500817871095,0.07,0.494
1,6.768384615580241,6.382336874542236,1.678,5.44
2,6.54678167615618,6.061051378479004,2.818,9.032
3,6.3912614186604815,5.767500071868897,3.888,11.94
4,6.19744212286813,5.5406498573303224,5.38,15.356
5,6.010323251996722,5.317992833709717,6.882,19.344
6,5.909256004151844,5.221135005645752,7.428,20.116
7,5.801429544176374,4.971932196655273,9.624,24.552
8,5.6541647002810524,4.7880007093811034,12.072,28.71
9,5.551964441935222,4.620938162994385,12.948,30.892
10,5.432294800167992,4.3416868441772465,16.22,36.15
11,5.276610124678839,4.290825848846436,16.808,37.398
12,5.208403927939279,4.0460162442016605,19.516,41.772
13,5.122740064348493,4.045335948486328,20.0,42.034
