epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.9410757791428335,6.936351427459717,0.064,0.372
1,6.93423402877081,6.9364588963317875,0.068,0.366
2,6.950791881197975,6.935854930877685,0.06,0.37
3,6.936553160349528,6.93609262802124,0.06,0.37
4,6.932731605711437,6.934379672088623,0.068,0.374
5,6.943115257081532,6.93463510055542,0.062,0.37
6,6.937441848573231,6.933771038665771,0.064,0.372
7,6.9304017793564565,6.93308656036377,0.06,0.386
8,6.9365173521496,6.9328841893005375,0.06,0.376
9,6.933505308060419,6.932009839019775,0.062,0.382
10,6.934010959806896,6.931062894439697,0.064,0.374
11,6.930896486554827,6.930533793487549,0.06,0.366
12,6.928108124505906,6.930663000183105,0.06,0.372
13,6.929202692849295,6.929937248687744,0.058,0.364
