epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931281226021903,6.9143434098815915,0.072,0.486
1,6.770501431964693,6.3824509786987305,1.662,5.268
2,6.538705485207694,6.060582575531006,2.82,8.878
3,6.389047645387196,5.774886244964599,3.87,11.706
4,6.200568403516497,5.5291746891784666,5.398,15.552
5,6.012902918316069,5.311435986785889,6.884,19.24
6,5.920545396350679,5.234098045196533,7.416,20.094
7,5.808681306384859,5.037121071014404,9.38,24.014
8,5.655506429218111,4.8147649885559085,11.34,27.868
9,5.55187870207287,4.556331311950683,13.796,32.316
10,5.425493944258917,4.32676318359375,15.876,36.458
11,5.2828339622134255,4.34179720199585,16.198,36.352
12,5.206386112031483,4.086520742034912,19.12,40.916
13,5.119023845309303,4.164629245605469,18.59,39.804
14,5.057885147276378,4.027134726409912,20.296,42.264
15,4.965357485271635,3.726391590270996,24.238,48.048
16,4.901348500024705,3.6746443690490724,24.59,48.844
17,4.792907510484968,3.5196420825195314,27.32,52.054
18,4.725453036172049,3.5765912525939942,26.656,51.142
19,4.6687395459129695,3.337903111114502,30.078,55.74
20,4.612003530774798,3.2262120544433595,32.006,57.912
21,4.536048003605434,3.227237729187012,31.27,57.316
22,4.485663027990432,3.153658846435547,33.228,59.104
23,4.463883604322161,3.061674278411865,34.994,61.14
24,4.385727632613409,2.9907164462280273,36.158,62.66
25,4.324762548719134,2.907326431732178,37.308,63.216
26,4.328762009030297,2.995233394317627,36.354,62.252
27,4.2845179580506825,2.8390720390319824,38.696,64.848
28,4.280086108616421,2.803950174560547,38.606,65.33
